Attraction,Address,Website,Description,Picture,Thumbnail
Canal Park,"Canal Park, Duluth, MN 55802",http://www.canalparkduluth.com/,"Canal Park is a tourist and recreation-oriented district of Duluth, Minnesota, United States. Situated across the Interstate 35 freeway from Downtown Duluth, it is connected by the famous Aerial Lift Bridge to the Park Point sandbar and neighborhood.",https://bringmethenews.com/.image/t_share/MTU0MDQ3MTcyNzEzOTE1NDc0/image-placeholder-title.jpg,https://bringmethenews.com/.image/t_share/MTU0MDQ3MTcyNzEzOTE1NDc0/image-placeholder-title.jpg
Aerial Lift Bridge,"601 S Lake Ave, Duluth, MN 55802",http://www.goduluthmn.com/best-duluth-attractions/aerial-lift-bridge/,"The Aerial Lift Bridge is a landmark in the port city of Duluth, Minnesota. The span began life in 1905 as the United States' first transporter bridge. In 1929â€“30, the span was converted to a vertical lift bridge, and continues to operate today.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Aerial_lift_bridge_duluth_mn.jpg/1200px-Aerial_lift_bridge_duluth_mn.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Aerial_lift_bridge_duluth_mn.jpg/1200px-Aerial_lift_bridge_duluth_mn.jpg
Spirit Mountain Recreation Area,"9500 Spirit Mountain Pl, Duluth, MN 55810",https://www.spiritmt.com/,Recreational mountain featuring wintertime downhill skiing & a summertime adventure park.,http://www.exploreminnesota.com/memberimage.ashx?id=18326&mar=1,http://www.exploreminnesota.com/memberimage.ashx?id=18326&mar=1
Glensheen,"3300 London Rd, Duluth, MN 55804",https://glensheen.org/,"Glensheen, the Historic Congdon Estate is a 20,000 square foot mansion in Duluth, Minnesota, United States, operated by the University of Minnesota Duluth as a historic house museum.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Glensheen.JPG/1280px-Glensheen.JPG-Glensheen.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Glensheen.JPG/1280px-Glensheen.JPG-Glensheen.JPG
Great Lakes Aquarium,"353 Harbor Dr, Duluth, MN 55802",https://glaquarium.org/,"The Great Lakes Aquarium opened in 2000 and is located on the Duluth waterfront. A 501 private nonprofit, its mission is to inspire people to explore their connection to Lake Superior and waters of the world.",https://mommybunch.com/wp-content/uploads/2016/07/great-lakes-aquarium-tank.jpg,https://mommybunch.com/wp-content/uploads/2016/07/great-lakes-aquarium-tank.jpg
Jay Cooke State Park,"780 MN-210, Carlton, MN 55718",https://www.dnr.state.mn.us/state_parks/park.html?id=spk00187#homepage,"Jay Cooke State Park is a state park of Minnesota, United States, protecting the lower reaches of the St. Louis River. The park is located about 10 miles southwest of Duluth and is one of the ten most visited state parks in Minnesota. The western half of the park contains part of a rocky, 13-mile gorge.",http://img.youtube.com/vi/bdBKDC2yyWU/0.jpg,http://img.youtube.com/vi/bdBKDC2yyWU/0.jpg
North Shore Scenic Railroad,"506 W Michigan St, Duluth, MN 55802",http://www.northshorescenicrailroad.org/,"Seasonal narrated train tours follow a historic transport corridor for short, long & themed rides.",https://lh3.googleusercontent.com/-jum53AdNMgY/Ugak0f_WT9I/AAAAAAAAAKY/TziGLVO3oZAdMJqJshEFJPYISPMwb93-gCLIBGAYYCw/w100-h134-n-k-no/,https://lh3.googleusercontent.com/-jum53AdNMgY/Ugak0f_WT9I/AAAAAAAAAKY/TziGLVO3oZAdMJqJshEFJPYISPMwb93-gCLIBGAYYCw/w100-h134-n-k-no/
Enger Tower,"Enger Tower, Enger Tower Dr, Duluth, MN 55806",http://www.engertowerduluth.com/,"Enger Tower stands at an elevation of 531 feet (162 m) above Lake Superior, providing panoramic views of the Twin Ports. Each of the tower's levels has a lookout that is accessible by stairs. A green beacon mounted on top of the tower can be seen for many miles.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Enger_Observation_Tower_2014-10-06_-_3.jpg/800px-Enger_Observation_Tower_2014-10-06_-_3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Enger_Observation_Tower_2014-10-06_-_3.jpg/800px-Enger_Observation_Tower_2014-10-06_-_3.jpg
Hawk Ridge,"3980 E Skyline Pkwy, Duluth, MN 55804",http://www.hawkridge.org/,"Hawk Ridge, on Skyline Parkway, is one of the nation's top spots for viewing migratory raptors.",https://media-cdn.tripadvisor.com/media/photo-s/09/33/6a/89/hawk-ridge-bird-observatory.jpg,https://media-cdn.tripadvisor.com/media/photo-s/09/33/6a/89/hawk-ridge-bird-observatory.jpg
Fitger's Mall,"600 E Superior St, Duluth, MN 55802",https://fitgers.com/,"The historic Fitger's mall offers visitors an intimate shopping and dining experience. With 15 locally owned shops, 3 restaurants, 2 night clubs, a micro brewery, and a full service salon & day spa.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Fitger%27s_Brewery.jpg/1920px-Fitger%27s_Brewery.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Fitger%27s_Brewery.jpg/1920px-Fitger%27s_Brewery.jpg
